index,Parameter Name,J (MeV),L (MeV),K (MeV),m*/m,J-J_calc,L-L_calc,K-K_Calc
64,J-33L-50K300ms_m0.8,-33.000000014719205,-50.000000055989844,299.99999995767996,0.7999999999970193,7.105427357601002e-15,1.907238811327261e-9,-1.3295846201799577e-8
65,J-33L-50K300ms_m0.85,-33.00000000326148,-49.99999999856442,300.0000000732148,0.8499999999952866,7.105427357601002e-15,1.9104291482108238e-9,-1.501757651567459e-8
66,J-33L-50K300ms_m0.9,-33.000000016957905,-50.000000066924926,299.9999999371017,0.9000000000065753,0.0,1.907828561797942e-9,-3.383320290595293e-9
67,J-33L-50K300ms_m0.95,-33.00000000573405,-50.00000001069691,300.00000005010185,0.9500000000089144,7.105427357601002e-15,1.9032881937164348e-9,-5.695710569852963e-9
68,J-33L-50K300ms_m1.0,-33.00000000426103,-50.000000003233865,300.00000006551755,1.0,0.0,1.9105357296211878e-9,-9.004224921227433e-9
69,J-33L-50K600ms_m0.6,-33.00000000412234,-50.000000057749105,599.9999997194116,0.5999999999845264,0.0,3.579754093152587e-8,-1.327045993093634e-7
70,J-33L-50K600ms_m0.65,-33.0000000037964,-50.000000055880776,599.9999997243408,0.6499999999942719,0.0,3.579515350793372e-8,-1.42509179568151e-7
71,J-33L-50K600ms_m0.7,-32.99999987519685,-49.99999941267879,600.0000010117673,0.6999999999527647,-1.4210854715202004e-14,3.579687302135426e-8,-1.200420456370921e-7
72,J-33L-50K600ms_m0.75,-32.99999993194437,-49.999999696238945,600.0000004455326,0.750000000000805,-1.4210854715202004e-14,3.5794428754343244e-8,-1.2475470612116624e-7
73,J-33L-50K600ms_m0.8,-32.99999986937168,-49.99999938322054,600.0000010723447,0.7999999999970194,-1.4210854715202004e-14,3.579431506750552e-8,-1.1839983926620334e-7
74,J-33L-50K600ms_m0.85,-32.99999992873265,-49.99999967988862,600.0000004796927,0.849999999998599,0.0,3.580625218546629e-8,-1.495297965448117e-7
75,J-33L-50K600ms_m0.9,-32.99999994222864,-49.9999997472471,600.0000003455837,0.9000000000015623,0.0,3.578546881044531e-8,-1.275014938073582e-7
76,J-33L-50K600ms_m0.95,-32.999999842703176,-49.999999249510836,600.0000013416001,0.9500000000089144,0.0,3.579465612801869e-8,-1.438207846149453e-7
77,J-33L-50K600ms_m1.0,-32.999999858913526,-49.999999330464675,600.000001180182,1.0,0.0,3.579535956532709e-8,-1.3109342944517266e-7
78,J-33L-40K0ms_m0.6,-32.999999975469336,-39.999999932773676,-7.079444230839727e-8,0.5999999999845264,0.0,-3.8502363963743846e-8,1.392647277498327e-7
79,J-33L-40K0ms_m0.65,-32.999999973437525,-39.99999992237599,-4.880649839833495e-8,0.6499999999555333,0.0,-3.849636698305403e-8,1.471327664148703e-7
80,J-33L-40K0ms_m0.7,-32.9999999717773,-39.99999991387051,-3.077316534927377e-8,0.6999999999909532,0.0,-3.8500772348015744e-8,1.4163292405555697e-7
81,J-33L-40K0ms_m0.75,-32.9999999740248,-39.99999992493076,-5.20078629051568e-8,0.750000000000805,1.4210854715202004e-14,-3.8505120869558596e-8,1.2756049727613575e-7
82,J-33L-40K0ms_m0.8,-32.99999998261194,-39.99999996771146,-1.3679380828079957e-7,0.8000000000116896,1.4210854715202004e-14,-3.8502548704855144e-8,1.2432212059820813e-7
83,J-33L-40K0ms_m0.85,-32.9999999897758,-40.00000000339389,-2.0747479823057802e-7,0.8500000000482829,1.4210854715202004e-14,-3.8508346733578946e-8,1.3058438241841946e-7
84,J-33L-40K0ms_m0.9,-32.99999998271835,-39.99999996798488,-1.3604896764718433e-7,0.8999999999323072,0.0,-3.849906704544992e-8,1.362196400123139e-7
85,J-33L-40K0ms_m0.95,-32.999999973626814,-39.9999999224184,-4.4371772034423884e-8,0.9500000000296018,-1.4210854715202004e-14,-3.850573193631135e-8,1.2670418136906394e-7
86,J-33L-40K0ms_m1.0,-32.99999997172728,-39.999999912823,-2.4691416911082342e-8,1.0,1.4210854715202004e-14,-3.850031760066486e-8,1.362550392514095e-7
87,J-33L-40K300ms_m0.6,-32.99999999392015,-39.999999968247664,300.00000007037664,0.5999999999845264,0.0,-4.6229757799665094e-9,2.1025130081397947e-8
88,J-33L-40K300ms_m0.65,-32.999999991888316,-39.99999995784998,300.00000009236464,0.6499999999555333,0.0,-4.622947358257079e-9,1.620577450012206e-8
89,J-33L-40K300ms_m0.7,-33.00000000688793,-40.000000032643584,299.9999999437997,0.6999999999639966,0.0,-4.62581795090955e-9,1.4365127753990237e-8
90,J-33L-40K300ms_m0.75,-32.99999999162265,-39.999999956140044,300.0000000976927,0.7499999999750174,0.0,-4.625988481166132e-9,1.948745875779423e-8
91,J-33L-40K300ms_m0.8,-33.00000000123333,-40.000000004038355,300.0000000026713,0.8000000000175577,0.0,-4.6221373395383125e-9,1.4403781278815586e-8
92,J-33L-40K300ms_m0.85,-33.0000000056678,-40.00000002607392,299.9999999592842,0.849999999948915,0.0,-4.624340022019169e-9,1.726442633298575e-8
93,J-33L-40K300ms_m0.9,-33.000000002874984,-40.00000001198822,299.99999998806356,0.9000000000065753,0.0,-4.621668381332711e-9,1.524608705949504e-8
