index,Parameter Name,a3,BE(13LamC)(MeV),BE-11.88MeV,Etot_HYP(MeV),Etot_core(MeV)
138,J-33L-20K0ms_m0.9,99.47265625,11.876931453610894,-0.0030685463891071407,-101.7550985557919,-89.87816710218101
139,J-33L-20K0ms_m0.95,99.47265625,11.875842411852972,-0.0041575881470290454,-101.75400951403398,-89.87816710218101
140,J-33L-20K0ms_m1.0,99.47265625,11.8757628983914,-0.004237101608600469,-101.75393000057241,-89.87816710218101
141,J-33L-20K300ms_m0.6,60.556640625,11.87728532247796,-0.0027146775220412422,-101.75545242465897,-89.87816710218101
142,J-33L-20K300ms_m0.65,61.044921875,11.878830349707954,-0.0011696502920468532,-101.75699745188896,-89.87816710218101
143,J-33L-20K300ms_m0.7,61.533203125,11.88078514571771,0.0007851457177086019,-101.75895224789872,-89.87816710218101
144,J-33L-20K300ms_m0.75,62.021484375,11.883008144070104,0.0030081440701028583,-101.76117524625111,-89.87816710218101
145,J-33L-20K300ms_m0.8,62.607421875,11.87877527939142,-0.0012247206085813644,-101.75694238157243,-89.87816710218101
146,J-33L-20K300ms_m0.85,63.095703125,11.881298350586832,0.0012983505868309209,-101.75946545276784,-89.87816710218101
147,J-33L-20K300ms_m0.9,63.681640625,11.877239222380965,-0.0027607776190361477,-101.75540632456197,-89.87816710218101
148,J-33L-20K300ms_m0.95,64.169921875,11.880137532367925,0.00013753236792446444,-101.75830463454894,-89.87816710218101
149,J-33L-20K300ms_m1.0,64.658203125,11.883358932785796,0.0033589327857956874,-101.7615260349668,-89.87816710218101
150,J-33L-20K600ms_m0.6,31.9189453125,11.880004365379534,4.365379533410874e-6,-101.75817146756054,-89.87816710218101
151,J-33L-20K600ms_m0.65,33.2861328125,11.878731421126432,-0.0012685788735691261,-101.75689852330744,-89.87816710218101
152,J-33L-20K600ms_m0.7,34.5556640625,11.88112548766344,0.0011254876634385624,-101.75929258984445,-89.87816710218101
153,J-33L-20K600ms_m0.75,35.8251953125,11.879908125931422,-9.187406857869007e-5,-101.75807522811243,-89.87816710218101
154,J-33L-20K600ms_m0.8,37.0458984375,11.879409787195073,-0.000590212804928214,-101.75757688937608,-89.87816710218101
155,J-33L-20K600ms_m0.85,38.2177734375,11.880099521881476,9.95218814754395e-5,-101.75826662406249,-89.87816710218101
156,J-33L-20K600ms_m0.9,39.3896484375,11.878376371283878,-0.0016236287161230933,-101.75654347346489,-89.87816710218101
157,J-33L-20K600ms_m0.95,40.5126953125,11.878673533866461,-0.0013264661335394834,-101.75684063604747,-89.87816710218101
158,J-33L-20K600ms_m1.0,41.5869140625,11.88142090791601,0.0014209079160085736,-101.75958801009702,-89.87816710218101
159,J-33L-10K0ms_m0.6,120.76171875,11.879588802081429,-0.000411197918571915,-101.75775590426244,-89.87816710218101
160,J-33L-10K0ms_m0.65,120.37109375,11.880708387015801,0.000708387015800227,-101.75887548919681,-89.87816710218101
161,J-33L-10K0ms_m0.7,119.98046875,11.884122691451935,0.004122691451934557,-101.76228979363295,-89.87816710218101
162,J-33L-10K0ms_m0.75,119.78515625,11.880723435159098,0.0007234351590970078,-101.75889053734011,-89.87816710218101
163,J-33L-10K0ms_m0.8,119.58984375,11.878953011852033,-0.0010469881479675536,-101.75712011403304,-89.87816710218101
164,J-33L-10K0ms_m0.85,119.39453125,11.878634637774283,-0.0013653622257177034,-101.75680173995529,-89.87816710218101
165,J-33L-10K0ms_m0.9,119.19921875,11.87960165391138,-0.0003983460886214374,-101.75776875609239,-89.87816710218101
166,J-33L-10K0ms_m0.95,119.00390625,11.881719079471296,0.0017190794712949042,-101.7598861816523,-89.87816710218101
167,J-33L-10K0ms_m1.0,119.00390625,11.875929944946549,-0.0040700550534520374,-101.75409704712756,-89.87816710218101
168,J-33L-10K300ms_m0.6,72.470703125,11.877122607936727,-0.002877392063274087,-101.75528971011774,-89.87816710218101
169,J-33L-10K300ms_m0.65,72.763671875,11.877344310620003,-0.0026556893799973835,-101.75551141280101,-89.87816710218101
170,J-33L-10K300ms_m0.7,73.056640625,11.878377560785935,-0.001622439214065352,-101.75654466296695,-89.87816710218101
171,J-33L-10K300ms_m0.75,73.349609375,11.880102292494811,0.00010229249481064073,-101.75826939467582,-89.87816710218101
172,J-33L-10K300ms_m0.8,73.642578125,11.882415403111267,0.002415403111266201,-101.76058250529228,-89.87816710218101
173,J-33L-10K300ms_m0.85,74.033203125,11.879060631651214,-0.0009393683487868287,-101.75722773383222,-89.87816710218101
174,J-33L-10K300ms_m0.9,74.326171875,11.882431319485221,0.002431319485220129,-101.76059842166623,-89.87816710218101
175,J-33L-10K300ms_m0.95,74.716796875,11.88000946942907,9.469429068431623e-6,-101.75817657161008,-89.87816710218101
176,J-33L-10K300ms_m1.0,75.107421875,11.878099164858241,-0.0019008351417593161,-101.75626626703925,-89.87816710218101
177,J-33L-10K600ms_m0.6,42.2705078125,11.878920322207051,-0.001079677792949596,-101.75708742438806,-89.87816710218101
178,J-33L-10K600ms_m0.65,43.3447265625,11.87924974457161,-0.0007502554283913554,-101.75741684675262,-89.87816710218101
179,J-33L-10K600ms_m0.7,44.3701171875,11.880806511685194,0.0008065116851927456,-101.7589736138662,-89.87816710218101
180,J-33L-10K600ms_m0.75,45.3955078125,11.880151026446399,0.00015102644639775065,-101.75831812862741,-89.87816710218101
181,J-33L-10K600ms_m0.8,46.3720703125,11.881234645284195,0.001234645284194258,-101.7594017474652,-89.87816710218101
182,J-33L-10K600ms_m0.85,45.9814453125,11.864562000798031,-0.015437999201969532,-101.74272910297904,-89.87816710218101
183,J-33L-10K600ms_m0.9,46.7626953125,11.879443524477182,-0.0005564755228189,-101.75761062665819,-89.87816710218101
184,J-33L-10K600ms_m0.95,47.6904296875,11.881499841923201,0.0014998419232004068,-101.75966694410421,-89.87816710218101
185,J-33L-10K600ms_m1.0,48.6669921875,11.878554735250532,-0.001445264749468933,-101.75672183743154,-89.87816710218101
186,J-33L0K0ms_m0.6,144.39453125,11.882497700276843,0.002497700276842707,-101.76066480245785,-89.87816710218101
187,J-33L0K0ms_m0.65,148.69140625,11.878771198965254,-0.0012288010347472067,-101.75693830114626,-89.87816710218101
188,J-33L0K0ms_m0.7,148.30078125,11.880490009336725,0.0004900093367243841,-101.75865711151773,-89.87816710218101
