index,Parameter Name,a3,BE(13LamC)(MeV),BE-11.88MeV
3223,J-28L10K100ms_m0.8,66.68266296386719,11.880011141600832,1.1141600831265919e-5
3224,J-28L10K100ms_m0.85,66.62467956542969,11.879996734925001,-3.265074999703188e-6
3225,J-28L10K100ms_m0.9,66.58576965332031,11.879990822506514,-9.177493486944854e-6
3226,J-28L10K100ms_m0.95,66.56288146972656,11.879997837286254,-2.1627137467561397e-6
3227,J-28L10K100ms_m1.0,66.55372619628906,11.88000102513962,1.025139619414972e-6
3228,J-28L10K200ms_m0.6,51.18583679199219,11.879984449959935,-1.555004006625893e-5
3229,J-28L10K200ms_m0.65,51.20262145996094,11.879995948164378,-4.05183562257605e-6
3230,J-28L10K200ms_m0.7,51.25297546386719,11.880006683320005,6.683320004086113e-6
3231,J-28L10K200ms_m0.75,51.32850646972656,11.880001537283249,1.5372832482540844e-6
3232,J-28L10K200ms_m0.8,51.42311096191406,11.879975807803262,-2.4192196738326288e-5
3233,J-28L10K200ms_m0.85,51.53144836425781,11.880007128861948,7.1288619469811465e-6
3234,J-28L10K200ms_m0.9,51.65199279785156,11.879994696286644,-5.303713356497042e-6
3235,J-28L10K200ms_m0.95,51.78169250488281,11.879987166333834,-1.2833666167111346e-5
3236,J-28L10K200ms_m1.0,50.85166931152344,11.879990908421462,-9.09157853890008e-6
3237,J-28L10K400ms_m0.6,25.588645935058594,11.879999758930339,-2.410696620103181e-7
3238,J-28L10K400ms_m0.65,26.12384796142578,11.879997746114071,-2.253885929448529e-6
3239,J-28L10K400ms_m0.7,26.65637969970703,11.879992222252781,-7.777747219606113e-6
3240,J-28L10K400ms_m0.75,27.18242645263672,11.880010505551624,1.0505551623296583e-5
3241,J-28L10K400ms_m0.8,27.700843811035156,11.880015126116703,1.5126116702290915e-5
3242,J-28L10K400ms_m0.85,27.401771545410156,11.879993587134152,-6.412865849014793e-6
3243,J-28L10K400ms_m0.9,27.85572052001953,11.879987971632573,-1.2028367427419084e-5
3244,J-28L10K400ms_m0.95,28.300514221191406,11.8800071189644,7.118964399310812e-6
3245,J-28L10K400ms_m1.0,28.736915588378906,11.879991919842041,-8.080157959611256e-6
3246,J-28L10K500ms_m0.6,15.097179412841797,11.880000160312008,1.603120072246611e-7
3247,J-28L10K500ms_m0.65,15.902080535888672,11.880006383660259,6.383660258180157e-6
3248,J-28L10K500ms_m0.7,16.68466567993164,11.879993920579636,-6.079420364457633e-6
